samplingpoint,quarternumber,dist,species,dbh,height
1,1,0.9144,A,15,6
1,2,5.6134,L,10.5,5
1,3,7.4422,L,11.2,5.5
1,4,5.588,R,9.3,4.5
2,1,1.1176,R,2.5,3
2,2,0.7112,R,4.4,3
2,3,4.064,R,4.1,4
2,4,1.2446,R,6.1,4
3,1,0.9144,R,8.8,3
3,2,7.2644,R,14.6,3
3,3,4.064,R,25.5,25
3,4,6.5024,R,84.1,25
4,1,1.4732,R,8.7,5.5
4,2,1.0668,R,31.7,20
4,3,5.8674,R,34,22
4,4,2.8702,R,38.7,22
5,1,1.524,R,7.5,6
5,2,4.3942,R,10.9,7
5,3,2.2098,PR,8.3,9
5,4,1.2192,R,5.3,5
6,1,2.9718,R,42.5,20
6,2,2.5146,R,14.4,6
6,3,3.9878,R,30.4,15
6,4,5.1816,R,37.2,20
7,1,7.6962,R,7.4,7.5
7,2,5.0292,R,3.1,5
7,3,6.4516,R,5.3,7
7,4,5.3848,R,21.3,16
8,1,2.8956,R,9.6,7
8,2,3.3274,R,26.5,13
8,3,2.6162,R,7,8
8,4,2.5654,R,5.7,4
9,1,4.5466,R,7.9,5
9,2,3.6576,R,21,15
9,3,1.905,R,7.5,8
9,4,4.953,R,13.3,12
10,1,1.0922,R,12.1,11
10,2,2.9718,R,6.3,10
10,3,4.1402,R,22.4,15
10,4,4.8768,R,16.8,8
11,1,0.8128,R,7,10
11,2,1.6764,R,18.9,12
11,3,2.2098,R,7.1,8
11,4,2.413,R,9.9,9.5
12,1,4.4958,R,11.8,10
12,2,1.143,R,5.8,5
12,3,2.921,R,21.3,12
12,4,2.2098,R,16,12
13,1,2.2352,R,64,25
13,2,1.9558,R,3.8,6
13,3,6.096,R,4.5,5.5
13,4,4.3688,R,6.5,6
14,1,7.0358,R,4.4,5.5
14,2,7.1882,R,13.3,10
14,3,3.0988,R,26.2,20
14,4,4.6736,R,10.7,12
15,1,2.8702,R,10.1,7
15,2,4.0132,R,16.9,16
15,3,5.1308,R,17,17
15,4,5.3086,R,11,14
16,1,2.7178,R,7.5,10
16,2,2.667,R,14,15
16,3,1.905,R,3.2,4
16,4,3.2766,R,19.5,16
17,1,1.2192,R,4.2,5
17,2,2.6924,R,42.2,21
17,3,4.5974,R,8.1,8
17,4,6.2484,R,41.9,25
18,1,5.1816,R,21,19
18,2,5.9436,R,17.3,19
18,3,3.8608,R,19.5,19
18,4,2.286,R,51.2,20
19,1,1.651,R,4,3
19,2,0.9144,R,4,5
19,3,1.7526,R,7.9,6
19,4,2.921,R,64,25
20,1,2.5908,L,7,6
20,2,3.2766,R,4.5,5
20,3,3.0226,R,10.5,7
20,4,3.429,R,4,4.5
21,1,2.54,R,5.8,6.5
21,2,4.6736,R,25.5,20
21,3,1.3716,R,6.8,15
21,4,2.8702,R,6.8,20
22,1,2.8956,R,4.7,4.5
22,2,3.7338,R,25.8,24
22,3,3.429,R,4.4,6.5
22,4,3.048,M,30.5,24
23,1,0.889,R,17.8,20
23,2,0.6096,R,6,4.5
23,3,2.7432,R,3.8,4
23,4,3.937,R,21.7,19
24,1,2.8702,R,5,6
24,2,3.3528,R,38,2.5
24,3,3.3528,R,45,25
24,4,1.397,R,7.7,7
25,1,3.7846,R,7.4,8
25,2,2.8448,R,8.6,9
25,3,2.8194,R,11.4,9
25,4,4.8768,R,83.4,25